,R2 Train,R2 Test,MSE Train,MSE Test,MAE Test,CV Mean,CV Std
XGBoost,0.9999999970433888,0.14618563798674977,5.270499506905652e-07,136.33890790426796,9.02963219833374,-1.5125253690206417,0.5272517591711873
Deep Learning,,0.1345611358233576,,,9.76461402130127,,
LightGBM,0.021129908970014655,0.10614953400250116,174.49485171101185,142.7319588258797,10.4669767908249,-0.06635574333743097,0.07453139599005454
Lasso Regression,0.07320548759035517,-0.028665544679184807,165.21178090070643,164.25951963330002,11.142855384980596,-0.31787587744977425,0.23979798565305824
SVR,0.04067165143205986,-0.04786667446889559,171.01131136757223,167.3255972053433,11.761645728338465,-0.14052006726848756,0.1946965221057754
Random Forest,0.8068976094409187,-0.04968748016058666,34.42272198775006,167.61634736199994,10.4595,-0.47186487949456274,0.19632779099161968
Ridge Regression,0.1313102673233132,-0.11468082670668234,154.85393565023497,177.9946242842155,11.190139283904264,-0.6948285777617169,0.4785072039141014
Linear Regression,0.1315622367449769,-0.13478746182373924,154.80901920292308,181.20529488833284,11.250250154666082,-0.7828771832940695,0.5431189440428792
KNN,0.07627396899345096,-0.4543773585605164,164.6647888,232.2380948,12.3674,-0.47507114253050114,0.21492709316376146
Gradient Boosting,0.9991459957180198,-0.4778470291117549,0.1522360851662287,235.98578211259542,13.18951977473644,-1.5152000176189904,0.8070166901825268
Decision Tree,0.8293172229279373,-0.6415562687447129,30.426168035714284,262.12722448979594,15.097285714285714,-1.6398031523699899,0.801777547322867
